source,title,company,location,text_to_check,categories
linkedin,Developpeur(se) Delphi,matys,"Casablanca, Casablanca-Settat, Morocco",Developpeur(se) Delphi,[]
linkedin,WEB Frontend development,Babel,"Casablanca, Casablanca-Settat, Morocco",WEB Frontend development,[]
linkedin,Développeur Python Cloud (F/H),Sofrecom Maroc,Casablanca Metropolitan Area,Développeur Python Cloud (F/H),"['Cloud', 'Data']"
linkedin,Développeur Full Stack Junior,Capgemini Engineering,"Casablanca, Casablanca-Settat, Morocco",Développeur Full Stack Junior,[]
linkedin,Développeur Backend Node - F/H,Niji,"Casablanca, Casablanca-Settat, Morocco",Développeur Backend Node - F/H,[]
linkedin,Développeur Full stack (F/H) SaaS (React.js / Next.js),WE ARE BEEBAY,"Mechouar, Casablanca-Settat, Morocco",Développeur Full stack (F/H) SaaS (React.js / Next.js),[]
linkedin,Développeur Python,Inetum,"Mechouar, Casablanca-Settat, Morocco",Développeur Python,['Data']
linkedin,Développeur Backend PHP / Symfony,Coliaty,"Agadir, Souss-Massa, Morocco",Développeur Backend PHP / Symfony,[]
linkedin,Développeur intégrateur Front-end,LNET Communication - Maroc,"Mechouar, Casablanca-Settat, Morocco",Développeur intégrateur Front-end,[]
linkedin,Développeur C++ expérimenté,Sitenco,Casablanca Metropolitan Area,Développeur C++ expérimenté,[]
linkedin,Software Engineer | Casablanca,TransPerfect,"Mechouar, Casablanca-Settat, Morocco",Software Engineer | Casablanca,[]
linkedin,Senior Data Engineer - Morocco,Mindera,"Casablanca, Casablanca-Settat, Morocco",Senior Data Engineer - Morocco,['Data']
linkedin,Expert Data & Cloud GCP,SQLI,"Rabat, Rabat-Salé-Kénitra, Morocco",Expert Data & Cloud GCP,['Cloud']
linkedin,Senior Data Scientist H/F,Devoteam,"Casablanca, Casablanca-Settat, Morocco",Senior Data Scientist H/F,[]
linkedin,Senior Data Engineer (H/F),Devoteam,"Casablanca, Casablanca-Settat, Morocco",Senior Data Engineer (H/F),['Data']
linkedin,Data Analyst,Groupe SII,"Mechouar, Casablanca-Settat, Morocco",Data Analyst,[]
linkedin,Data analyst H/F,PKF Arsilon,"Casablanca-Settat, Morocco",Data analyst H/F,[]
linkedin,Data Engineer Confirmé (Microsoft Fabric),Inetum,"Mechouar, Casablanca-Settat, Morocco",Data Engineer Confirmé (Microsoft Fabric),['Data']
linkedin,AI Engineer / Data Scientist Expérimenté F/H,Deloitte,"Mechouar, Casablanca-Settat, Morocco",AI Engineer / Data Scientist Expérimenté F/H,['AI']
linkedin,Ingénieur Data GCP (Google Cloud Platform) (F/H),SQLI,"Rabat, Rabat-Salé-Kénitra, Morocco",Ingénieur Data GCP (Google Cloud Platform) (F/H),['Cloud']
linkedin,Data Analyst/Engineer H/F - Casablanca,Eskimoz,Casablanca Metropolitan Area,Data Analyst/Engineer H/F - Casablanca,[]
linkedin,DATA ENGINEER / DATA VIZ,RED TIC,"Casablanca, Casablanca-Settat, Morocco",DATA ENGINEER / DATA VIZ,['Data']
linkedin,DATA ANALYST,CIH BANK,"Casablanca, Casablanca-Settat, Morocco",DATA ANALYST,[]
linkedin,Data Engineer DBT SQL (H/F),Devoteam,"Rabat, Rabat-Salé-Kénitra, Morocco",Data Engineer DBT SQL (H/F),['Data']
linkedin,Ingénieur Data Modeling,Capgemini Engineering,"Casablanca, Casablanca-Settat, Morocco",Ingénieur Data Modeling,[]
linkedin,Data Analyst / Automotive Software Engineer,IAV Morocco,Casablanca Metropolitan Area,Data Analyst / Automotive Software Engineer,[]
linkedin,"Data Engineer GCP (Pub/Sub, DBT)",ALTEN MAROC,"Rabat, Rabat-Salé-Kénitra, Morocco","Data Engineer GCP (Pub/Sub, DBT)","['Cloud', 'Data']"
linkedin,Expert DevOps SRE Engineer | Devoteam Maroc Nearshore,Devoteam,"Rabat, Rabat-Salé-Kénitra, Morocco",Expert DevOps SRE Engineer | Devoteam Maroc Nearshore,['DevOps']
linkedin,Senior Consultant Devops (H/F),Devoteam,"Casablanca, Casablanca-Settat, Morocco",Senior Consultant Devops (H/F),['DevOps']
linkedin,Ingénieur DevOps (H/F),Sofrecom Maroc,"Rabat, Rabat-Salé-Kénitra, Morocco",Ingénieur DevOps (H/F),['DevOps']
linkedin,Expert DevOps,Orange Business,"Salé El Jadida, Rabat-Salé-Kénitra, Morocco",Expert DevOps,['DevOps']
linkedin,Senior DevOps Engineer_ Azure/GCP,SQLI,"Rabat, Rabat-Salé-Kénitra, Morocco",Senior DevOps Engineer_ Azure/GCP,"['Cloud', 'DevOps']"
linkedin,Ingénieur DevOps,BROME Consulting & Technology,"Rabat, Rabat-Salé-Kénitra, Morocco",Ingénieur DevOps,['DevOps']
linkedin,Consultant DevOps,BROME Consulting & Technology,"Casablanca, Casablanca-Settat, Morocco",Consultant DevOps,['DevOps']
